[38.9071923, -77.0368707, 'OFFENSE', 'METHOD', 'BLOCKSITEADDRESS', 'REPORTDATETIME', 'OFFENSE : METHOD', 'BLOCKSITEADDRESS\nREPORTDATETIME'],
[38.9498918, -77.0997007, 'BURGLARY', 'OTHERS', '4600 - 4617 BLOCK OF WESTERN AVENUE NW', '1/1/2013 4:45:00 PM', 'BURGLARY', '4600 - 4617 BLOCK OF WESTERN AVENUE NW\n1/1/2013 4:45:00 PM'],
[38.9672358, -77.00445580000002, 'THEFT/OTHER', 'OTHERS', '4800 - 4899 BLOCK OF EASTERN AVENUE NE', '1/1/2013 3:40:00 PM', 'THEFT/OTHER', '4800 - 4899 BLOCK OF EASTERN AVENUE NE\n1/1/2013 3:40:00 PM'],
[38.9256322, -77.05357959999999, 'MOTOR VEHICLE THEFT', 'OTHERS', '2600 - 2699 BLOCK OF WOODLEY ROAD NW', '1/1/2013 3:29:00 PM', 'MOTOR VEHICLE THEFT', '2600 - 2699 BLOCK OF WOODLEY ROAD NW\n1/1/2013 3:29:00 PM'],
[38.9549827, -77.0701026, 'THEFT/OTHER', 'OTHERS', '5000 - 5099 BLOCK OF CONNECTICUT AVENUE NW', '1/1/2013 3:53:00 PM', 'THEFT/OTHER', '5000 - 5099 BLOCK OF CONNECTICUT AVENUE NW\n1/1/2013 3:53:00 PM'],
[38.9262821, -77.0121953, 'MOTOR VEHICLE THEFT', 'OTHERS', '100 - 379 BLOCK OF MICHIGAN AVENUE NE', '1/1/2013 11:45:00 AM', 'MOTOR VEHICLE THEFT', '100 - 379 BLOCK OF MICHIGAN AVENUE NE\n1/1/2013 11:45:00 AM'],
[38.8636089, -76.97106099999999, 'ARSON', 'OTHERS', '2589 - 2671 BLOCK OF NAYLOR ROAD SE', '1/1/2013 5:35:00 PM', 'ARSON', '2589 - 2671 BLOCK OF NAYLOR ROAD SE\n1/1/2013 5:35:00 PM'],
[38.9295547, -77.0331896, 'THEFT/OTHER', 'OTHERS', '3100 - 3299 BLOCK OF 14TH STREET NW', '1/1/2013 3:28:00 PM', 'THEFT/OTHER', '3100 - 3299 BLOCK OF 14TH STREET NW\n1/1/2013 3:28:00 PM'],
[38.8886793, -76.99496289999999, 'THEFT F/AUTO', 'OTHERS', 'A STREET SE AND 8TH STREET SE', '1/1/2013 5:40:00 PM', 'THEFT F/AUTO', 'A STREET SE AND 8TH STREET SE\n1/1/2013 5:40:00 PM'],
[38.9095567, -76.9361054, 'ROBBERY', 'GUN', '4600 - 4615 BLOCK OF POLK STREET NE', '1/1/2013 4:49:00 PM', 'ROBBERY : GUN', '4600 - 4615 BLOCK OF POLK STREET NE\n1/1/2013 4:49:00 PM'],
[38.872016, -77.0121948, 'BURGLARY', 'OTHERS', '100 - 199 BLOCK OF P STREET SW', '1/1/2013 4:25:00 PM', 'BURGLARY', '100 - 199 BLOCK OF P STREET SW\n1/1/2013 4:25:00 PM'],
[38.9561946, -77.0334452, 'ROBBERY', 'GUN', '1400  - 1599 BLOCK OF KENNEDY STREET NW', '1/1/2013 7:00:00 PM', 'ROBBERY : GUN', '1400  - 1599 BLOCK OF KENNEDY STREET NW\n1/1/2013 7:00:00 PM'],
[38.952707, -77.00353539999999, 'ROBBERY', 'OTHERS', '300 - 399 BLOCK OF GALLOWAY STREET NE', '1/1/2013 6:30:00 PM', 'ROBBERY', '300 - 399 BLOCK OF GALLOWAY STREET NE\n1/1/2013 6:30:00 PM'],
[38.9554547, -77.0119435, 'THEFT/OTHER', 'OTHERS', '100  - 199 BLOCK OF JEFFERSON STREET NW', '1/1/2013 7:37:00 PM', 'THEFT/OTHER', '100  - 199 BLOCK OF JEFFERSON STREET NW\n1/1/2013 7:37:00 PM'],
[38.8989205, -76.991546, 'THEFT/OTHER', 'OTHERS', '700 - 799 BLOCK OF 11TH STREET NE', '1/1/2013 7:18:00 PM', 'THEFT/OTHER', '700 - 799 BLOCK OF 11TH STREET NE\n1/1/2013 7:18:00 PM'],
[38.966263, -77.020134, 'BURGLARY', 'GUN', '6300  - 6311 BLOCK OF 5TH STREET NW', '1/1/2013 7:56:00 PM', 'BURGLARY : GUN', '6300  - 6311 BLOCK OF 5TH STREET NW\n1/1/2013 7:56:00 PM'],
[38.9006787, -77.0534022, 'BURGLARY', 'OTHERS', '2500 - 2599 BLOCK OF I STREET NW', '1/1/2013 8:24:00 PM', 'BURGLARY', '2500 - 2599 BLOCK OF I STREET NW\n1/1/2013 8:24:00 PM'],
[38.948505, -77.027306, 'THEFT/OTHER', 'OTHERS', '4800  - 4817 BLOCK OF GEORGIA AVENUE NW', '1/1/2013 8:40:00 PM', 'THEFT/OTHER', '4800  - 4817 BLOCK OF GEORGIA AVENUE NW\n1/1/2013 8:40:00 PM'],
